brand_name,indication,disease,disease_category,year,women,white,black,asian,other,hispanic,us_only,age_65,age_75,age_80
Addyi,"Treatment of acquired, generalized hypoactive sexual desire disorder (HSDD) in premenopausal women","Acquired, Generalized Hypoactive Sexual Desire Disorder",Other,2015,100.0,89.0,8.0,1.0,2.0,,,0.0,0.0,0.0
Alecensa,For the treatment of metastatic non-small cell lung cancer,Metastatic Non-Small Cell Lung Cancer,Cancer,2015,55.0,74.0,2.0,18.0,7.0,,,14.0,4.0,1.0
Aristada,Treatment of schizophrenia,Schizophrenia,Neurological,2015,32.0,47.0,40.0,13.0,1.0,,,0.0,0.0,0.0
Avycaz,Treatment of complicated intra-abdominal infection (abbreviated as cIAI),Complicated Intra-Abdominal Infection,Infectious Disease,2015,26.0,60.0,1.0,27.0,12.0,,,11.0,8.0,4.0
Avycaz,Treatment of complicated urinary tract infection (abbreviated as cUTI),Complicated Urinary Tract Infection,Infectious Disease,2015,74.0,60.0,5.0,10.0,25.0,,,17.0,4.0,3.0
Bridion,For the reversal of the effects of certain neuromuscular blocking agents,Neuromuscular Blockade Reversal,Neurological,2015,52.0,84.0,3.0,12.0,1.0,,,29.0,1.0,1.0
Cholbam,For treatment of bile acid synthesis disorders due to single enzyme defects,Bile Acid Synthesis Disorders,Other,2015,43.0,61.0,11.0,7.0,20.0,,,,,
Cholbam,"For treatment of peroxisomal disorders, including Zellweger spectrum disorders",Peroxisomal Disorders,Immune / Inflammatory,2015,33.0,83.0,0.0,0.0,17.0,,,,,
Corlanor,To reduce hospitalization from worsening heart failure.,Heart Failure,Cardiovascular,2015,24.0,89.0,1.0,8.0,2.0,,,38.0,11.0,3.0
Cosentyx,Treatment of moderate to severe plaque psoriasis in adults who do not respond well to medication applied directly to the skin,Moderate To Severe Plaque Psoriasis,Immune / Inflammatory,2015,30.0,68.0,1.0,22.0,9.0,,,8.0,1.0,1.0
Cotellic,Part of combination treatment melanoma,Melanoma,Cancer,2015,42.0,93.0,,,7.0,,,27.0,9.0,3.0
Cresemba,Treatment of invasive aspergillosis,Invasive Aspergillosis,Other,2015,40.0,78.0,1.0,21.0,1.0,,,24.0,5.0,1.0
Cresemba,Treatment of invasive mucormycosis,Invasive Mucormycosis,Other,2015,19.0,68.0,11.0,22.0,0.0,,,14.0,8.0,0.0
