"All Cancer Sites Combined"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2023"
"By Race/Ethnicity, Delay-adjusted SEER Incidence Rate, Both Sexes, All Ages"

"","Hispanic (any race)","Hispanic (any race)","Hispanic (any race)","Hispanic (any race)","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","386.1","382.4","389.9","390.1","353.4","332.3","375.3","380.7","328.3","323.7","332.9","334.0","519.1","514.8","523.5","521.2","506.6","505.1","508.1","508.7"
"2001","391.2","387.6","394.9","389.4","402.9","380.8","425.8","385.0","336.3","331.8","340.8","332.8","526.2","521.9","530.5","520.3","517.4","515.9","518.9","509.1"
"2002","391.3","387.8","394.9","388.7","380.5","359.3","402.5","389.4","334.0","329.7","338.4","331.7","520.3","516.1","524.5","519.4","515.2","513.7","516.6","509.6"
"2003","387.2","383.8","390.6","388.0","394.3","372.9","416.6","393.7","326.8","322.7","331.1","330.5","517.7","513.5","521.9","518.6","502.9","501.5","504.4","510.0"
"2004","390.1","386.7","393.4","387.3","415.1","393.6","437.4","398.2","329.0","324.9","333.1","329.4","515.7","511.5","519.8","517.7","504.4","503.0","505.9","510.4"
"2005","387.7","384.5","391.0","386.6","412.6","391.4","434.6","402.6","324.8","320.9","328.8","328.3","512.9","508.8","517.0","516.9","503.9","502.4","505.3","510.9"
"2006","381.4","378.2","384.6","385.9","416.0","395.0","437.8","407.2","324.9","321.1","328.8","327.1","510.4","506.4","514.5","516.0","511.2","509.8","512.7","511.3"
"2007","385.1","382.0","388.2","385.2","408.6","388.1","429.8","411.7","333.3","329.5","337.1","326.0","522.0","518.0","526.0","515.2","516.9","515.5","518.4","511.7"
"2008","388.3","385.3","391.4","384.5","421.0","400.6","442.1","416.4","329.3","325.6","333.0","324.8","515.1","511.2","519.1","514.3","512.9","511.5","514.4","512.1"
"2009","384.1","381.1","387.0","380.6","418.2","398.4","438.7","421.0","325.7","322.1","329.3","323.7","517.6","513.7","521.4","513.5","509.4","508.0","510.9","506.1"
"2010","372.2","369.4","375.0","376.8","432.6","412.6","453.2","425.8","324.0","320.5","327.5","322.6","500.8","497.0","504.5","504.8","497.7","496.3","499.1","500.1"
"2011","371.8","369.0","374.5","373.0","434.0","414.2","454.4","430.6","323.6","320.2","327.1","321.5","495.1","491.5","498.8","496.3","496.8","495.4","498.3","494.2"
"2012","363.4","360.7","366.0","369.2","418.1","399.1","437.7","435.4","314.4","311.1","317.7","320.4","487.3","483.7","490.9","487.9","487.0","485.6","488.4","488.3"
"2013","367.8","365.2","370.4","365.5","443.4","424.1","463.3","440.3","319.3","316.1","322.6","319.2","480.4","476.8","483.9","479.7","483.8","482.5","485.2","482.6"
"2014","364.8","362.3","367.4","361.8","420.5","402.2","439.5","445.2","311.7","308.5","314.8","318.1","473.5","470.0","476.9","471.6","485.1","483.7","486.5","485.0"
"2015","368.2","365.7","370.7","366.4","455.8","436.7","475.5","450.2","318.7","315.6","321.8","317.0","473.6","470.2","477.1","473.9","488.8","487.4","490.2","487.6"
"2016","372.1","369.6","374.6","371.1","452.7","434.0","472.0","455.3","315.0","312.0","318.1","315.9","475.8","472.5","479.2","476.3","487.8","486.4","489.2","490.1"
"2017","373.3","370.8","375.7","375.8","454.6","435.9","473.8","460.4","323.7","320.7","326.7","320.2","477.6","474.3","481.0","478.7","491.7","490.3","493.1","492.6"
"2018","378.9","376.5","381.3","380.6","461.9","443.4","481.1","465.6","323.6","320.6","326.6","324.5","478.4","475.1","481.7","481.1","493.7","492.3","495.1","495.2"
"2019","389.5","387.1","391.9","385.5","477.0","458.2","496.3","470.8","329.0","326.1","332.0","328.9","489.1","485.7","492.4","483.5","501.6","500.2","503.0","497.7"
"2020","351.2","349.0","353.4","390.4","443.6","425.8","461.9","476.1","292.3","289.5","295.0","333.3","436.9","433.8","440.1","485.9","458.0","456.7","459.4","500.3"
"2021","392.6","390.2","394.9","395.4","494.3","475.6","513.6","481.5","341.5","338.6","344.4","337.8","487.5","484.3","490.8","488.3","499.7","498.3","501.1","502.9"
"2022","394.7","392.4","397.0","400.5","477.0","458.7","495.9","486.9","339.8","336.9","342.7","342.4","486.4","483.2","489.6","490.8","499.9","498.5","501.3","505.5"
"2023","411.7","409.4","414.0","405.6","500.5","481.5","519.9","492.4","346.5","343.6","349.4","347.0","496.2","493.0","499.5","493.2","515.0","513.6","516.4","508.1"


"Data Source:"
"-SEER Incidence Data, November 2025 Submission (1975-2023), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 6.0, March 2026, National Cancer Institute using the default settings. The underlying rates supplied to Joinpoint were exported from SEER*Stat at the maximum available precision and included the standard error for the rate."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Tue May 05 2026.
